topic_id,MAR,JMAR,JOMAC,Label
0,14.014598540145986,28.686131386861312,17.2992700729927,T0: Exec. Comp. & Governance
1,11.912408759124087,24.383211678832115,14.704379562043796,T1: Perf. Meas. & Behavior
2,8.642335766423358,17.68978102189781,10.667883211678832,T2: MA Profession & Digital
3,5.839416058394161,11.952554744525548,7.208029197080292,T3: Pay Transparency
4,5.605839416058394,11.474452554744525,6.91970802919708,T4: Cost Behavior
5,5.138686131386861,10.518248175182482,6.343065693430657,T5: MCS & Risk
6,3.9708029197080292,8.127737226277372,4.901459854014599,T6: Sustainability
7,2.5693430656934306,5.259124087591241,3.1715328467153285,T7: Budgeting
8,2.335766423357664,4.781021897810219,2.883211678832117,T8: Subj. Perf. Eval.
9,2.102189781021898,4.302919708029197,2.5948905109489053,T9: Trust & Relational
10,1.8686131386861313,3.8248175182481754,2.3065693430656933,T10: Analytical Models
